onset	duration	trial	event	delay	response
290.9445	10.52249999999998	1	baseline	0.05	n/a
301.467	20.02000000000004	1	heartbeat	0.05	synchronous
331.2445	10.271999999999991	2	baseline	0.0	n/a
341.5165	20.019999999999982	2	heartbeat	0.0	synchronous
401.8275	10.095500000000015	3	baseline	0.0	n/a
411.923	20.019999999999982	3	heartbeat	0.0	delayed
438.377	10.954000000000008	4	baseline	0.05	n/a
449.331	20.019999999999982	4	heartbeat	0.05	synchronous
471.0265	10.815999999999974	5	baseline	0.05	n/a
481.8425	20.02000000000004	5	heartbeat	0.05	delayed
503.81	10.549000000000035	6	baseline	0.05	n/a
514.359	20.019999999999982	6	heartbeat	0.05	delayed
536.1265	10.629500000000007	7	baseline	0.05	n/a
546.756	20.019999999999982	7	heartbeat	0.05	synchronous
569.026	10.337500000000091	8	baseline	0.05	n/a
579.3635	20.019999999999982	8	heartbeat	0.05	synchronous
600.5925	10.881500000000074	9	baseline	0.0	n/a
611.474	20.019999999999982	9	heartbeat	0.0	delayed
633.359	10.966999999999985	10	baseline	0.0	n/a
644.326	20.019999999999982	10	heartbeat	0.0	synchronous
665.509	10.138500000000022	11	baseline	0.0	n/a
675.6475	20.019999999999982	11	heartbeat	0.0	delayed
697.1585	10.260999999999967	12	baseline	0.0	n/a
707.4195	20.019999999999982	12	heartbeat	0.0	synchronous
729.6085	10.875499999999988	13	baseline	0.0	n/a
740.484	20.019999999999982	13	heartbeat	0.0	synchronous
761.525	10.838500000000067	14	baseline	0.0	n/a
772.3635	20.019999999999982	14	heartbeat	0.0	delayed
794.791	10.703499999999963	15	baseline	0.0	n/a
805.4945	20.011999999999944	15	heartbeat	0.0	synchronous
826.841	10.576000000000022	16	baseline	0.0	n/a
837.417	20.000499999999988	16	heartbeat	0.0	synchronous
859.891	10.855999999999995	17	baseline	0.05	n/a
870.747	20.019499999999994	17	heartbeat	0.05	delayed
892.124	10.409999999999968	18	baseline	0.0	n/a
902.534	20.019499999999994	18	heartbeat	0.0	synchronous
924.44	10.430999999999926	19	baseline	0.05	n/a
934.871	20.019999999999982	19	heartbeat	0.05	synchronous
